County/City,Ward,Pct,"Barbara Jean Comstock","Luann L. Bennett","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Clarke County",-,"101 - Russell","1,059",406,4,0,"1,469"
"Clarke County",-,"201 - Berryville",701,558,9,0,"1,268"
"Clarke County",-,"301 - Millwood",639,356,4,0,999
"Clarke County",-,"302 - Pine Grove",306,145,3,0,454
"Clarke County",-,"401 - White Post",869,480,1,0,"1,350"
"Clarke County",-,"501 - Buckmarsh",632,361,2,0,995
"Clarke County",-,"502 - Blue Ridge",244,143,1,0,388
"Clarke County",-,"Ab - Central Absentee Precinct",535,441,9,0,985
"Clarke County",-,Provisional,3,5,0,0,8
"Fairfax County",-,"229 - Fox Mill","1,421","1,483",18,0,"2,922"
"Fairfax County",-,"240 - Colvin",869,659,8,0,"1,536"
"Fairfax County",-,"301 - Chain Bridge",912,788,5,0,"1,705"
"Fairfax County",-,"303 - Churchill",442,421,1,0,864
"Fairfax County",-,"304 - Cooper",664,483,2,0,"1,149"
"Fairfax County",-,"306 - Great Falls",755,488,2,0,"1,245"
"Fairfax County",-,"309 - Kenmore","1,071",856,9,0,"1,936"
"Fairfax County",-,"311 - Langley",627,486,1,0,"1,114"
"Fairfax County",-,"314 - Mclean",644,622,5,0,"1,271"
"Fairfax County",-,"321 - Clearview","1,245","1,340",4,0,"2,589"
"Fairfax County",-,"322 - Forestville","1,212",680,8,0,"1,900"
"Fairfax County",-,"323 - Shouse",683,663,4,0,"1,350"
"Fairfax County",-,"327 - Sugarland","1,116","1,156",4,0,"2,276"
"Fairfax County",-,"328 - Hickory","1,085",805,4,0,"1,894"
"Fairfax County",-,"329 - Seneca","1,197",870,9,0,"2,076"
"Fairfax County",-,"331 - Spring Hill",666,528,3,0,"1,197"
"Fairfax County",-,"803 - Clifton","1,710",919,7,0,"2,636"
"Fairfax County",-,"804 - Colchester",657,524,6,0,"1,187"
"Fairfax County",-,"805 - Fairfax Station",584,423,2,0,"1,009"
"Fairfax County",-,"815 - Woodyard","1,082",665,6,0,"1,753"
"Fairfax County",-,"838 - Sangster",712,623,6,0,"1,341"
"Fairfax County",-,"839 - Silverbrook","1,213",930,13,0,"2,156"
"Fairfax County",-,"841 - Popes Head",641,370,4,0,"1,015"
"Fairfax County",-,"845 - Fountainhead","1,430",963,14,0,"2,407"
"Fairfax County",-,"847 - Greenbriar West",713,775,3,0,"1,491"
"Fairfax County",-,"849 - Newgate North",561,547,6,0,"1,114"
"Fairfax County",-,"850 - South Run","1,033",747,7,0,"1,787"
"Fairfax County",-,"854 - Newgate South","1,227",697,6,0,"1,930"
"Fairfax County",-,"902 - Brookfield",929,"1,536",11,0,"2,476"
"Fairfax County",-,"903 - Cub Run","1,146","1,188",13,0,"2,347"
"Fairfax County",-,"904 - Stonecroft",544,463,6,0,"1,013"
"Fairfax County",-,"905 - Franklin",301,331,2,0,634
"Fairfax County",-,"908 - Hidden Meadow",771,726,3,0,"1,500"
"Fairfax County",-,"909 - Oak Hill",693,745,6,0,"1,444"
"Fairfax County",-,"911 - Navy","1,002","1,055",5,0,"2,062"
"Fairfax County",-,"913 - Rocky Run","1,389","1,220",14,0,"2,623"
"Fairfax County",-,"914 - Vale",765,654,5,0,"1,424"
"Fairfax County",-,"915 - Virginia Run","1,075",613,7,0,"1,695"
"Fairfax County",-,"916 - Waples Mill","1,443","1,182",8,0,"2,633"
"Fairfax County",-,"917 - Stone North",542,665,3,0,"1,210"
"Fairfax County",-,"920 - Chantilly",860,957,6,0,"1,823"
"Fairfax County",-,"921 - Deer Park","1,075",962,9,0,"2,046"
"Fairfax County",-,"923 - Bull Run",836,484,10,0,"1,330"
"Fairfax County",-,"925 - Old Mill",553,662,4,0,"1,219"
"Fairfax County",-,"927 - Armfield",585,669,4,0,"1,258"
"Fairfax County",-,"928 - Poplar Tree",904,865,6,0,"1,775"
"Fairfax County",-,"929 - Difficult Run",251,191,1,0,443
"Fairfax County",-,"930 - Lees Corner",676,718,8,0,"1,402"
"Fairfax County",-,"931 - Carson",616,790,9,0,"1,415"
"Fairfax County",-,"932 - Stone South",381,677,7,0,"1,065"
"Fairfax County",-,"Ab - Central Absentee Precinct","11,699","15,055",104,0,"26,858"
"Fairfax County",-,Provisional,60,57,1,0,118
"Frederick County",-,"101 - Russells","1,154",316,1,0,"1,471"
"Frederick County",-,"102 - Gore","1,368",388,7,0,"1,763"
"Frederick County",-,"103 - Kernstown","1,335",531,5,0,"1,871"
"Frederick County",-,"104 - Cedar Creek",847,320,3,0,"1,170"
"Frederick County",-,"201 - Gainesborough",847,195,5,0,"1,047"
"Frederick County",-,"202 - Albin","1,166",394,5,0,"1,565"
"Frederick County",-,"203 - Redland","1,526",570,5,0,"2,101"
"Frederick County",-,"204 - Nain","1,218",407,7,0,"1,632"
"Frederick County",-,"301 - Clear Brook",837,234,4,0,"1,075"
"Frederick County",-,"302 - Neff's Town","1,408",785,11,0,"2,204"
"Frederick County",-,"303 - White Hall","1,723",600,3,0,"2,326"
"Frederick County",-,"401 - Carpers Valley","1,268",550,3,0,"1,821"
"Frederick County",-,"402 - Shenandoah",665,299,4,0,968
"Frederick County",-,"403 - Parkin's Mill","1,182",521,13,0,"1,716"
"Frederick County",-,"404 - Armel","1,150",541,5,0,"1,696"
"Frederick County",-,"501 - Stephens City","1,325",585,6,0,"1,916"
"Frederick County",-,"502 - Newtown","1,525",727,8,0,"2,260"
"Frederick County",-,"503 - Canterburg","1,400",612,9,0,"2,021"
"Frederick County",-,"601 - Millbrook",892,421,4,0,"1,317"
"Frederick County",-,"602 - Ash Hollow","1,108",648,10,0,"1,766"
"Frederick County",-,"603 - Greenwood","1,836",860,14,0,"2,710"
"Frederick County",-,"Ab - Central Absentee Precinct","2,103","1,161",26,0,"3,290"
"Frederick County",-,Provisional,17,12,0,0,29
"Loudoun County",-,"107 - Little River",995,755,8,0,"1,758"
"Loudoun County",-,"108 - Mercer",887,860,10,0,"1,757"
"Loudoun County",-,"112 - Freedom",571,639,5,0,"1,215"
"Loudoun County",-,"114 - Dulles South",715,785,6,0,"1,506"
"Loudoun County",-,"117 - Carter",343,582,7,0,932
"Loudoun County",-,"118 - Moorefield",752,902,5,0,"1,659"
"Loudoun County",-,"119 - Arcola","1,402","1,628",8,0,"3,038"
"Loudoun County",-,"120 - Lunsford",893,865,1,0,"1,759"
"Loudoun County",-,"121 - Town Hall",595,543,7,0,"1,145"
"Loudoun County",-,"122 - Hutchison Farm",996,946,7,0,"1,949"
"Loudoun County",-,"123 - Cardinal Ridge",628,470,6,0,"1,104"
"Loudoun County",-,"124 - Liberty",603,580,3,0,"1,186"
"Loudoun County",-,"125 - Rock Ridge",733,870,4,0,"1,607"
"Loudoun County",-,"207 - River Bend",582,560,7,0,"1,149"
"Loudoun County",-,"208 - Algonkian",640,642,5,0,"1,287"
"Loudoun County",-,"209 - Potomac Falls",815,914,5,0,"1,734"
"Loudoun County",-,"210 - Cascades",965,"1,119",7,0,"2,091"
"Loudoun County",-,"213 - Countryside",330,411,5,0,746
"Loudoun County",-,"214 - Sugarland North","1,041","1,038",5,0,"2,084"
"Loudoun County",-,"215 - Sugarland South",840,"1,119",10,0,"1,969"
"Loudoun County",-,"216 - Lowes Island",881,730,3,0,"1,614"
"Loudoun County",-,"217 - South Bank",955,951,3,0,"1,909"
"Loudoun County",-,"218 - University Center",522,777,3,0,"1,302"
"Loudoun County",-,"219 - Galilee Church",688,833,5,0,"1,526"
"Loudoun County",-,"301 - Purcellville","1,303",811,7,0,"2,121"
"Loudoun County",-,"302 - Round Hill","1,165",655,10,0,"1,830"
"Loudoun County",-,"303 - Hillsboro","1,067",590,3,0,"1,660"
"Loudoun County",-,"305 - Philomont",512,311,4,0,827
"Loudoun County",-,"307 - Middleburg",416,436,1,0,853
"Loudoun County",-,"308 - St Louis",454,443,3,0,900
"Loudoun County",-,"309 - Aldie",399,282,2,0,683
"Loudoun County",-,"310 - Mountain View","1,303",765,6,0,"2,074"
"Loudoun County",-,"311 - Round Hill Elementary","1,163",594,7,0,"1,764"
"Loudoun County",-,"312 - Briar Woods",865,958,3,0,"1,826"
"Loudoun County",-,"313 - Pinebrook","1,783","1,871",10,0,"3,664"
"Loudoun County",-,"314 - Legacy","1,313","1,761",14,0,"3,088"
"Loudoun County",-,"315 - Firehouse",394,212,2,0,608
"Loudoun County",-,"316 - Creighton's Corner","1,290","1,472",11,0,"2,773"
"Loudoun County",-,"318 - Madison's Trust","1,027",535,6,0,"1,568"
"Loudoun County",-,"401 - West Lovettsville","1,391",807,10,0,"2,208"
